"region","Freq"
"USA","4445"
"UK","1811"
"GERMANY","609"
"CANADA","492"
"NETHERLANDS","388"
"FRANCE","386"
"AUSTRALIA","228"
"ITALY","211"
"SWITZERLAND","131"
"ISRAEL","120"
"BELGIUM","115"
"CHINA","97"
"SPAIN","80"
"JAPAN","62"
"DENMARK","53"
"SWEDEN","53"
"NORWAY","39"
"IRELAND","34"
"FINLAND","33"
"NEW ZEALAND","32"
"AUSTRIA","27"
"HUNGARY","27"
"SINGAPORE","10"
"BRAZIL","8"
"CHILE","8"
"ICELAND","8"
"PORTUGAL","8"
"INDIA","7"
"ESTONIA","5"
"SOUTH AFRICA","5"
"ARGENTINA","4"
"POLAND","4"
"KENYA","2"
"MEXICO","2"
"RUSSIA","2"
"SOUTH KOREA","2"
"TURKEY","2"
"GREECE","1"
"PANAMA","1"
"THAILAND","1"