"Node","Cluster","Betweenness","Closeness","PageRank"
"harvard univ","1","211.519646107168","0.0136986301369863","0.0797042079685835"
"yale univ","1","89.3900725989473","0.0128205128205128","0.0577156381419146"
"duke univ","1","36.789274200354","0.0116279069767442","0.0410939578455618"
"univ toronto","1","57.7149205541882","0.0108695652173913","0.0356272245164016"
"johns hopkins univ","1","0","0.0087719298245614","0.00725218191376192"
"dartmouth coll","1","0","0.0087719298245614","0.00599757864018237"
"univ york","1","0.535897435897436","0.00961538461538462","0.0159382339965619"
"univ oxford","2","196.170096789153","0.0123456790123457","0.0538766661744643"
"inst cognit neurosci","2","41","0.00833333333333333","0.0176475659436969"
"univ amsterdam","2","22.2745122687185","0.0101010101010101","0.0236641175355207"
"radboud univ nijmegen","2","44.1711287263642","0.0101010101010101","0.0299012336440582"
"max planck inst human cognit and brain sci","2","0","0.00714285714285714","0.00631237749273986"
"inst neurol","2","0","0.0062111801242236","0.0134886594611182"
"univ pittsburgh","2","4.16447136116049","0.00961538461538462","0.0177275678538895"
"univ edinburgh","2","44.3","0.00934579439252336","0.0187370588796617"
"univ glasgow","2","0","0.00675675675675676","0.00746999710495137"
"univ cambridge","3","53.2857348512203","0.010752688172043","0.0326183695442464"
"univ calif los angeles","3","1.88610954263128","0.00826446280991736","0.0106779250774447"
"carnegie mellon univ","3","51.0465964548357","0.0114942528735632","0.0410627882820626"
"dept brain and cognit sci","3","46.8948049610431","0.0104166666666667","0.0276391722894377"
"univ arizona","3","45.2456718312342","0.0103092783505155","0.0278455990079227"
"univ british columbia","3","41","0.00793650793650794","0.0170370415725979"
"univ illinois","3","0","0.00598802395209581","0.0096947229516125"
"univ utrecht","3","0","0.00826446280991736","0.0106659265879133"
"cognit and brain sci unit","3","0.789473684210526","0.0087719298245614","0.0141594224111492"
"princeton univ","4","71.7089227404651","0.0113636363636364","0.0447483670253472"
"univ penn","4","35.9686736235839","0.0111111111111111","0.037768009568691"
"univ calif berkeley","4","58.6344650071467","0.010989010989011","0.028670844757945"
"rutgers state univ","4","1.95992794535544","0.00769230769230769","0.0108811039481879"
"univ calif davis","4","3.15456427630341","0.0078740157480315","0.0106485820691061"
"mcgill univ","4","2.25765502373198","0.00917431192660551","0.0116410368776473"
"indiana univ","4","45.2396025144625","0.0103092783505155","0.0272057112962813"
"univ warwick","4","15.7900357304716","0.00909090909090909","0.0162454955056192"
"univ wisconsin","4","0","0.0078125","0.00983114671319723"
"stanford univ","5","72.546925208485","0.0113636363636364","0.0370374430995522"
"washington univ","5","4.7304528662451","0.00952380952380952","0.0158529490175332"
"univ calif san diego","5","41.7897792022792","0.00980392156862745","0.0196990108354426"
"columbia univ","5","28.9722998896976","0.0113636363636364","0.0329873537340093"
"univ sussex","5","0","0.00699300699300699","0.0068372039350485"
"northwestern univ","6","42.0567042606516","0.00854700854700855","0.0192846454141992"
"univ chicago","6","10.2987536644982","0.00970873786407767","0.01796043419487"
"cornell univ","6","29.7128266794968","0.0104166666666667","0.0215590679263269"
"univ michigan","6","0","0.00632911392405063","0.00758635924354059"