"Author","LocalCitations"
"DEHAENE S","96"
"CHATER N","59"
"LAMME VAF","52"
"POLDRACK RA","52"
"GALLESE V","49"
"KEYSERS C","48"
"FRITH CD","47"
"HAXBY JV","45"
"BUCKNER RL","41"
"MCCLELLAND JL","41"
"FRISTON KJ","40"
"TOMASELLO M","40"
"FRIEDERICI AD","39"
"KOCH C","37"
"CHRISTIANSEN MH","35"
"POSNER MI","35"
"TENENBAUM JB","35"
"BLOCK N","33"
"BOTVINICK MM","33"
"SIMONS DJ","33"
"SPELKE E","32"
"SPORNS O","32"
"WOLPERT DM","31"
"CAVANAGH P","30"
"COHEN L","30"
"GRIFFITHS TL","30"
"OCHSNER KN","30"
"PUCE A","30"
"CALL J","29"
"D'ESPOSITO M","29"
"WALSH V","29"
"CURTIS CE","28"
"FEIGENSON L","28"
"FRIES P","28"
"KEMP C","28"
"SINGER W","28"
"GOBBINI MI","27"
"HASSON U","27"
"ROBBINS TW","27"
"HOFFMAN EA","26"
"SUMMERFIELD C","26"
"TSUCHIYA N","26"
"ENGEL AK","25"
"GOLDMAN A","24"
"LESLIE AM","24"
"COHEN MA","23"
"GHAZANFAR AA","23"
"GRILL-SPECTOR K","23"
"GROSS JJ","23"
"LAU H","23"
"MARTIN A","23"
"NORMAN KA","23"
"WAGNER AD","23"
"ALLISON T","22"
"ARON AR","22"
"AWH E","22"
"MCCARTHY G","22"
"MENON V","22"
"POLYN SM","22"
"SETH AK","22"
"ADOLPHS R","21"
"BADRE D","21"
"BAR M","21"
"BUSH G","21"
"EGNER T","21"
"HENSON R","21"
"LUU P","21"
"VANRULLEN R","21"
"AHISSAR M","20"
"CARROLL DC","20"
"CSIBRA G","20"
"KNIGHT RT","20"
"BARRETT LF","19"
"BRESSLER SL","19"
"COHEN JD","19"
"DETRE GJ","19"
"HASSABIS D","19"
"MURRAY EA","19"
"RIZZOLATTI G","19"
"SCHROEDER CE","19"
"CANOLTY RT","18"
"DENNETT DC","18"
"GELMAN R","18"
"HEYES C","18"
"HICKOK G","18"
"KARMILOFF-SMITH A","18"
"MAGUIRE EA","18"
"PERNER J","18"
"RUSHWORTH MFS","18"
"SCHOOLER JW","18"
"SUDDENDORF T","18"
"YONELINAS AP","18"
"CHANGEUX JP","17"
"DOLAN RJ","17"
"GALLAGHER S","17"
"GALLISTEL CR","17"
"GERGELY G","17"
"HOCHSTEIN S","17"
"MALACH R","17"
"MOSCOVITCH M","17"
"NORTHOFF G","17"
"PALLER KA","17"
"PERFORS A","17"
"PETERSEN SE","17"
"RANGANATH C","17"
"ROELFSEMA PR","17"
"RUGG MD","17"
"YUILLE A","17"
"ALVAREZ GA","16"
"BAILLARGEON R","16"
"CARAMAZZA A","16"
"CARTER CS","16"
"CLARK A","16"
"DECETY J","16"
"DUNCAN J","16"
"GALLAGHER HL","16"
"HARE B","16"
"KOECHLIN E","16"
"MAHON BZ","16"
"NACCACHE J","16"
"ROSENTHAL D","16"
"SCHACTER DL","16"
"SCHOLL BJ","16"
"SERGENT C","16"
"WAGER TD","16"
"BELIN P","15"
"BLAKEMORE SJ","15"
"BUSSEY TJ","15"
"CABEZA R","15"
"CLEEREMANS A","15"
"COHEN BL","15"
"DOSENBACH NUF","15"
"FAIR DA","15"
"GARROD S","15"
"KAHN I","15"
"LEVIN DT","15"
"LUCK SJ","15"
"MARCUS GF","15"
"ORBAN GA","15"
"SHANNON BJ","15"
"SHOHAMY D","15"
"SIGMAN M","15"
"STOKES MG","15"
"TREMOULET PD","15"
"VINCKIER F","15"
"BADDELEY A","14"
"BASSETT DS","14"
"DAYAN P","14"
"DESMURGET M","14"
"FEHR E","14"
"MUNAKATA Y","14"
"O'REILLY RC","14"
"PINKER S","14"
"TYLER LK","14"
"VAN DEN HEUVEL MP","14"
"VANDUFFEL W","14"
"VOGEL EK","14"
"BERWICK RC","13"
"BLOOM P","13"
"DE LANGE FP","13"
"DUPOUX E","13"
"KASTNER S","13"
"KOK P","13"
"KRIEGESKORTE N","13"
"MAJID A","13"
"MONSELL S","13"
"MOORE T","13"
"NOELLE DC","13"
"PESSOA L","13"
"PICKERING MJ","13"
"PRICE CJ","13"
"ROGERS TT","13"
"SCOTT RM","13"
"SEIDENBERG LB","13"
"SHEA N","13"
"SINGER T","13"
"VAN ESSEN D","13"
"BAARS BJ","12"
"BAKER CI","12"
"BEHRMANN M","12"
"BERKES P","12"
"CORBALLIS MC","12"
"DE GARDELLE V","12"
"DI LOLLO V","12"
"FISER J","12"
"GAZZOLA V","12"
"GOLD JI","12"
"GRAFTON S","12"
"HAYNES JD","12"
"HE Z","12"
"JENSEN O","12"
"KIEVIT RA","12"
"KOUIDER S","12"
"LENGYEL M","12"
"MIALL RC","12"
"ORBAN G","12"
"PLAUT DC","12"
"POEPPEL D","12"
"RENSINK RA","12"
"SACKUR J","12"
"SHADLEN MN","12"
"TALLON-BAUDRY C","12"
"ARMSTRONG BC","11"
"BANG D","11"
"BANNERMAN DM","11"
"BLAKE R","11"
"BURR D","11"
"DIANA RA","11"
"FITCH WT","11"
"FRAESSLE S","11"
"FROST R","11"
"GAUTHIER I","11"
"GILBOA A","11"
"HEILBRON M","11"
"HILGETAG CC","11"
"INZLICHT M","11"
"JOHNSON MH","11"
"KAWATO M","11"
"KENNERLEY SW","11"
"KERSTEN D","11"
"LAKATOS P","11"
"LEOPOLD DA","11"
"LOGOTHETIS NK","11"
"MARLATTE H","11"
"NIEDER A","11"
"OVERGAARD M","11"
"PEZZULO G","11"
"RAYMOND JE","11"
"ROLFS M","11"
"ROY M","11"
"VUILLEUMIER P","11"
"WALTON ME","11"
"WILKE M","11"
"BARBEY AK","10"
"BERMPOHL F","10"
"BERTRAND O","10"
"BOLDT A","10"
"BRASS M","10"
"BROWN GDA","10"
"BROWN SD","10"
"CAMERER CF","10"
"COUZIN ID","10"
"DAVIDSON RJ","10"
"FINK GR","10"
"GILBERT SJ","10"
"IVRY RB","10"
"JONIDES J","10"
"KAISER M","10"
"KEENAN JP","10"
"KLINK PC","10"
"KRAVITZ DJ","10"
"KUMARAN D","10"
"LALAND KN","10"
"LINDQUIST KA","10"
"MAURER D","10"
"MCKOON G","10"
"MONDLOCH CJ","10"
"PELLICANO E","10"
"PERRETT DI","10"
"RATCLIFF R","10"
"RENDELL L","10"
"SAXE R","10"
"SERENCES JT","10"
"SMALLWOOD J","10"
"SMITH PL","10"
"TANG YY","10"
"XU F","10"
"YEUNG C","10"
"YOUNG AW","10"
"ZELAZO PD","10"
"AFRAZ A","9"
"ANDERSON MC","9"
"ARNAL LH","9"
"ARNELL KM","9"
"BARGH JA","9"
"BINDER JR","9"
"BURTON AM","9"
"BUZSAKI G","9"
"CHIALVO DR","9"
"CHRISTOFF K","9"
"CHRISTOPHEL TB","9"
"CICHY RM","9"
"COLTHEART M","9"
"DAW ND","9"
"DEARY IJ","9"
"DESAI RH","9"
"ELLIS HD","9"
"ELMAN JL","9"
"GAZZANIGA MS","9"
"HAPPE F","9"
"HOLROYD CB","9"
"HOMMEL B","9"
"HUMPHREYS GW","9"
"HUNT AR","9"
"KAHANA MJ","9"
"KAISER D","9"
"KELSO JAS","9"
"LAUREYS S","9"
"LEDOUX JE","9"
"LEVINSON SC","9"
"LEWIS PA","9"
"LIVERSEDGE SP","9"
"MCCANDLISS BD","9"
"MONTAGUE PR","9"
"MOSS HE","9"
"NOBRE AC","9"
"OAKSFORD M","9"
"OWEN AM","9"
"PATTERSON K","9"
"POVINELLI DJ","9"
"QUIROGA RQ","9"
"RISKO EF","9"
"SCHMEICHEL BJ","9"
"SEIDENBERG MS","9"
"SELI P","9"
"SHAPIRO KL","9"
"SILVANTO J","9"
"SMILEK D","9"
"SPITZER B","9"
"SREENIVASAN KK","9"
"TARR MJ","9"
"ULLMAN MT","9"
"VONK J","9"
"WOLFE JM","9"
"ARMSTRONG KM","8"
"BAKER LG","8"
"BARCH DM","8"
"BARRY DN","8"
"BEHRENS TEJ","8"
"BELLUGI U","8"
"BOLHUIS JJ","8"
"BOTVINICK M","8"
"BREMMER F","8"
"BULTHOFF HH","8"
"CHANES L","8"
"CLIFFORD CWG","8"
"CORLETT PR","8"
"COX DD","8"
"DICARLO JJ","8"
"DICKINSON A","8"
"DUBOIS J","8"
"EICHENBAUM H","8"
"ENNS JT","8"
"ERNST MO","8"
"FARAH MJ","8"
"FRENCH RM","8"
"GOSWAMI U","8"
"HERTWIG R","8"
"HINTON GE","8"
"HOLT LL","8"
"HUSAIN M","8"
"JOHNSON-LAIRD PN","8"
"KAJIKAWA S","8"
"KIM CY","8"
"KLIMA ES","8"
"KLINGBERG T","8"
"KOELSCH S","8"
"KRAMER AF","8"
"LANG B","8"
"LAPPE M","8"
"LEVY I","8"
"LINDENBERGER U","8"
"MELNIKOFF DE","8"
"MIKHAIL J","8"
"MISHKIN M","8"
"MOBBS D","8"
"MONTALDI D","8"
"NIV Y","8"
"OLIVA A","8"
"OP DE BEECK HP","8"
"PASCUAL-LEONE A","8"
"REICHLE ME","8"
"ROEPSTORFF A","8"
"SALEEM KS","8"
"SANTOS LR","8"
"SCHIRMER A","8"
"SCHUBOTZ RI","8"
"SIEGELMAN N","8"
"SILVER MA","8"
"SOMMERVILLE JA","8"
"SPENCE C","8"
"THOMPSON-SCHILL SL","8"
"TORRALBA A","8"
"VOGELEY K","8"
"WYNN K","8"
"ASHBY FG","7"
"BARSALOU LW","7"
"BAYNE T","7"
"BEDARD C","7"
"BELOPOLSKY AV","7"
"BRAVER TS","7"
"BROWN R","7"
"BRUCE V","7"
"BURGESS PW","7"
"BYRNE RMJ","7"
"CASTELLANOS FX","7"
"CHEN J","7"
"CHENG PCH","7"
"CHOMSKY JJ","7"
"CIARAMELLI E","7"
"CIKARA M","7"
"CRITCHLEY HD","7"
"CROKER S","7"
"DE VIGNEMONT F","7"
"DRIVER J","7"
"ETKIN A","7"
"FECTEAU JH","7"
"FECTEAU S","7"
"FEDERMEIER KD","7"
"FERNANDEZ G","7"
"FINDLAY JM","7"
"FOGARTY L","7"
"FORSTMANN BU","7"
"FRANCONERI SL","7"
"FRIEDMAN O","7"
"FRITH C","7"
"GALANTUCCI B","7"
"GALLUP GG","7"
"GAZZALEY A","7"
"GERMAN TP","7"
"GIBSON E","7"
"GIRAUD AL","7"
"GOBET F","7"
"GRAINGER J","7"
"GREENE J","7"
"GREZES J","7"
"HAIDT J","7"
"HARIRI AR","7"
"HENDERSON JM","7"
"HESSLOW G","7"
"HOLCOMBE AO","7"
"HONEY CJ","7"
"HOPPITT WJE","7"
"JONES L","7"
"KALISCH R","7"
"KANE MJ","7"
"KAYSER C","7"
"KELEMEN D","7"
"KOTZ SA","7"
"KURTHEN M","7"
"KUTAS M","7"
"LANE PCR","7"
"LAVIE N","7"
"LE GRAND R","7"
"LUTZ A","7"
"MAY A","7"
"MAYES A","7"
"MIGO E","7"
"MORGAN TJH","7"
"MUNK MHJ","7"
"MUNOZ DP","7"
"NADER K","7"
"NEE DE","7"
"NYBERG L","7"
"O'TOOLE AJ","7"
"PASSINGHAM RE","7"
"PAULUS MP","7"
"PEARSON J","7"
"PETERS J","7"
"PINE JM","7"
"REDISH AD","7"
"RENOULT L","7"
"SCHILLER D","7"
"SIMMONS WK","7"
"SMITH LB","7"
"SOTO D","7"
"THEEUWES J","7"
"TONONI G","7"
"TSAKIRIS M","7"
"UDDIN LQ","7"
"VALLAR G","7"
"VOSS JL","7"
"WARNEKEN F","7"
"WATT RJ","7"
"WEBSTER MM","7"
"WILSON CD","7"
"YEUNG N","7"
"ZACKS JM","7"
"ZAKI J","7"
"BANICH MT","6"
"BEKKERING H","6"
"BLANKE O","6"
"BOWERMAN M","6"
"BOYER M","6"
"BOYER P","6"
"BRAMMER MJ","6"
"BULLMORE ET","6"
"BUSBY J","6"
"CALVERT GA","6"
"CHATHAM CH","6"
"CHUN MM","6"
"CONWAY CM","6"
"CUNNINGHAM WA","6"
"CURRAN T","6"
"CURTIN S","6"
"DEPUE BE","6"
"DESTREBECQZ A","6"
"DIEDRICHSEN J","6"
"DOELLER CF","6"
"DUMONTHEIL I","6"
"EDELMAN GM","6"
"EICHELE S","6"
"EISENEGGER C","6"
"FABRE-THORPE M","6"
"FEDORENKO E","6"
"FRIED I","6"
"FRITH U","6"
"GENOVESIO A","6"
"GERKEN L","6"
"GOMEZ RL","6"
"GOTTLIEB J","6"
"GROSS J","6"
"HAGGARD P","6"
"HAMANN S","6"
"HAUN DBM","6"
"HAUSER MD","6"
"HAUSHOFER J","6"
"HE BJ","6"
"HERD SA","6"
"HOHWY J","6"
"HOLMES A","6"
"HOUTKAMP PR","6"
"IANNETTI GD","6"
"IRIKI A","6"
"IVERSEN SD","6"
"JACOB P","6"
"KANWISHER N","6"
"KING JR","6"
"KITA S","6"
"KIYONAGA A","6"
"KNOBLICH G","6"
"KORDING KP","6"
"KRIENEN FM","6"
"KRINGELBACH ML","6"
"LANSINK CS","6"
"LEGARE CH","6"
"LILJEHOLM M","6"
"LOMBROZO T","6"
"MARAVITA A","6"
"MARESCHAL D","6"
"MATHER M","6"
"MATTINGLEY JB","6"
"METZINGER T","6"
"MILHAM MP","6"
"MIRMAN D","6"
"NACHEV P","6"
"NADEL L","6"
"NIELSEN M","6"
"O'DOHERTY JP","6"
"OLIVERS CNL","6"
"PENNARTZ CMA","6"
"PITCHER D","6"
"PLOMIN R","6"
"PLONER M","6"
"PRESS C","6"
"PYLYSHYN ZW","6"
"RAICHLE ME","6"
"RAUSCHECKER JP","6"
"REGIER T","6"
"REICHLE ED","6"
"ROESSLER J","6"
"ROTHBART MK","6"
"ROUSSELET GA","6"
"RUDEBECK ME","6"
"SANFEY AG","6"
"SCIMECA JM","6"
"SEBANZ N","6"
"SPELKE ES","6"
"SQUIRE LR","6"
"STEELS L","6"
"STEWART N","6"
"TAMIR DI","6"
"THOMPSON E","6"
"THORPE SJ","6"
"TINGLEY D","6"
"TODD PM","6"
"UNGERLEIDER LG","6"
"VAN BAVEL JJ","6"
"VAN DEN BERG AV","6"
"VAN DER MEER MAA","6"
"VAN PRAAG H","6"
"VIVAR C","6"
"VLAEV I","6"
"VOSS MW","6"
"WAGENMAKERS EJ","6"
"WANG RF","6"
"WATANABE T","6"
"WHEELER MA","6"
"WISE SP","6"
"AMEDI A","5"
"ANTICEVIC A","5"
"ATANCE CM","5"
"BACKMAN L","5"
"BADDELEY AD","5"
"BLUMENFELD RS","5"
"BLUNDELL C","5"
"BONNEFOND M","5"
"BORNKESSEL-SCHLESEWSKY I","5"
"BOUREAU YL","5"
"BRANNON EM","5"
"BULLER DJ","5"
"BURGESS N","5"
"CAREY DP","5"
"CASEY BJ","5"
"CAVANAGH JF","5"
"CEASER A","5"
"CHENG YD","5"
"CHEVALLIER C","5"
"CHUN K","5"
"CLAYTON N","5"
"COLE MW","5"
"COLGIN LL","5"
"COWEY A","5"
"CUDDY AJC","5"
"DEBENER S","5"
"DIENES Z","5"
"DOWNING PE","5"
"DUNNE JD","5"
"DURRANT SJ","5"
"ELDAR E","5"
"EPSTEIN RA","5"
"EREV I","5"
"EVENSMOEN HR","5"
"FAIVRE N","5"
"FAZEKAS P","5"
"FEENEY MC","5"
"FISKE ST","5"
"FRANK MJ","5"
"FRISTON K","5"
"GELMAN SA","5"
"GLICK P","5"
"GOLDBERG AE","5"
"GRIFFITHS D","5"
"GRODZINSKY Y","5"
"GROSSENBACHER PG","5"
"GUNTER HL","5"
"HALFORD GS","5"
"HARRIS JM","5"
"HASSELMO ME","5"
"HEEGER DJ","5"
"HEGARTY M","5"
"HOFMANN W","5"
"IACOBONI M","5"
"IVANOFF J","5"
"JACOBS J","5"
"JOANISSE MF","5"
"JOELS M","5"
"KAY P","5"
"KIRBY S","5"
"KLEIN RM","5"
"KOENIG P","5"
"KREITER AK","5"
"KRYSTAL JH","5"
"KURBY CA","5"
"KURTH-NELSON Z","5"
"LANGTON SRH","5"
"LEVY BJ","5"
"LI ZP","5"
"LIBERMAN AM","5"
"LOEWENSTEIN G","5"
"LOVDEN M","5"
"LOVELACE CT","5"
"MACPHAIL EM","5"
"MAROIS R","5"
"MAYE A","5"
"MCCLURE SM","5"
"MELCHER D","5"
"MITCHELL JP","5"
"MOSCOVITCH L","5"
"MUDRIK L","5"
"MUGGLETON N","5"
"MURRAY JD","5"
"NASELARIS T","5"
"NEUENSCHWANDER S","5"
"NUNEZ RE","5"
"O'NEILL DK","5"
"OLOFSSON JK","5"
"PEELEN M","5"
"POPPENK J","5"
"PREUSCHOFF K","5"
"PROAL E","5"
"QUEK GL","5"
"RAAFAT RM","5"
"RAYNER K","5"
"REDSHAW J","5"
"RIKLUND K","5"
"RITTER S","5"
"ROBERTS WA","5"
"RUTLEDGE RB","5"
"SANBORN AN","5"
"SANTI A","5"
"SCHLESEWSKY M","5"
"SCHMAHMANN JD","5"
"SCHWABE L","5"
"SCHYNS PG","5"
"SHETTLEWORTH SJ","5"
"SLAGTER HA","5"
"SLOUTSKY VM","5"
"SOKOL-HESSNER P","5"
"ST JACQUES P","5"
"SUI J","5"
"TONG F","5"
"TRESILIAN JR","5"
"ULLSPERGER M","5"
"VAN ESSEN DC","5"
"VERSTRATEN FAJ","5"
"VITANYI P","5"
"WANG JX","5"
"WANG XJ","5"
"WHALEN DH","5"
"ZEKI S","5"
"ZIEGLER JC","5"
"ABDI H","4"
"ACHOUI D","4"
"APPS MAJ","4"
"ARABZADEH E","4"
"BALLARD D","4"
"BARTZ JA","4"
"BATTAGLIA JB","4"
"BAZIN PL","4"
"BEAUNY A","4"
"BEER RD","4"
"BENGTSSON SL","4"
"BISHOP SJ","4"
"BOEHM SG","4"
"BOGACZ R","4"
"BOLGER N","4"
"BOTTINI R","4"
"BRODKIN ES","4"
"BUKACH CM","4"
"BULLOCK D","4"
"BURR DC","4"
"BUTLER DL","4"
"BUTTERWORTH B","4"
"CARREIRAS M","4"
"CHRISTOFF TC","4"
"CLAYTON NS","4"
"COGNITIVE SEARCH RES GRP CSRG","4"
"COHEN G","4"
"COHEN MX","4"
"COLBY CL","4"
"COSMELLI D","4"
"COSMIDES L","4"
"COURVILLE AC","4"
"DAVACHI L","4"
"DAVIDOFF J","4"
"DAVIDSON PSR","4"
"DE FREITAS J","4"
"DE GELDER B","4"
"DE HEERING A","4"
"DELGADO MR","4"
"DICKE U","4"
"DIETRICH E","4"
"EISENBERGER NI","4"
"EVANS KK","4"
"FIEBELKORN IC","4"
"FISHER SE","4"
"FRANK MC","4"
"FREEDBERG D","4"
"GALLAGHER M","4"
"GOLDIN-MEADOW S","4"
"GOLDSTONE RL","4"
"GOODMAN ND","4"
"GOTTFRIED JA","4"
"GREENE JD","4"
"GREENE MR","4"
"GROSSMANN I","4"
"GWEON H","4"
"HAGOORT P","4"
"HALLIGAN PW","4"
"HANNAGAN T","4"
"HARRIS JA","4"
"HAYHOE M","4"
"HE S","4"
"HIKOSAKA O","4"
"HILLS TT","4"
"HIRSCHFELD LA","4"
"HOLLAND PC","4"
"HUNTENBURG JM","4"
"INTRILIGATOR J","4"
"JACK AI","4"
"JACKENDOFF R","4"
"JANSSEN MA","4"
"JARA-ETTINGER J","4"
"JOHNSON-FREY SH","4"
"KAHNEMAN D","4"
"KEUNINCKX L","4"
"KINZLER KD","4"
"KOHLS G","4"
"KOSSLYN SM","4"
"KREIMAN G","4"
"LAND M","4"
"LANGE C","4"
"LAU HC","4"
"LAZER D","4"
"LEGRAND E","4"
"LEVINE B","4"
"LEWANDOWSKY S","4"
"LEWIS MB","4"
"LIBERMAN Z","4"
"LIEBERMAN MD","4"
"LUPYAN G","4"
"MACKE JH","4"
"MACRAE CN","4"
"MAILLET D","4"
"MANNING CD","4"
"MARGOLIASH D","4"
"MARGULIES DS","4"
"MARKMAN AB","4"
"MARSLEN-WILSON W","4"
"MARTIN JR","4"
"MASSARO DW","4"
"MAUNSELL JHR","4"
"MECK WH","4"
"MEISTER L","4"
"MILLER GA","4"
"MIMES KA","4"
"MINIUSSI C","4"
"MOREWEDGE CK","4"
"MORO A","4"
"MUNOZ-MOLDES S","4"
"NOWAK MA","4"
"NUSBAUM HC","4"
"OBERAUER K","4"
"OKANOYA K","4"
"OLIVOLA CY","4"
"PALMERI TJ","4"
"PALOMBO M","4"
"PANZERI S","4"
"PEREA M","4"
"PEREIRA A","4"
"PLATT ML","4"
"PYLYSHYN Z","4"
"ROARK DA","4"
"ROBERTS AC","4"
"ROGERS BJ","4"
"ROLLS ET","4"
"ROTH G","4"
"SANCHEZ-VIVES MV","4"
"SAYETTE MA","4"
"SCHLEGEL R","4"
"SCHULTZ RT","4"
"SCHULZ JB","4"
"SCHWARTZ S","4"
"SENJU A","4"
"SIEGEL M","4"
"SLATER M","4"
"SMALL SL","4"
"SMITH SM","4"
"SNELL J","4"
"SPERBER D","4"
"SPINATH FM","4"
"SUTHANA N","4"
"THORNTON MA","4"
"THUT G","4"
"TOOBY J","4"
"TOURETZKY DS","4"
"TROIANI V","4"
"TSUJIMOTO S","4"
"ULLMAN M","4"
"ULLMAN TD","4"
"VAN DE VIJVER I","4"
"VARELA FJ","4"
"VASISHTH S","4"
"VERGUTS T","4"
"VO MLH","4"
"VOLKOW ND","4"
"VON CRAMON DY","4"
"VUILLAUME L","4"
"WAGEMANS J","4"
"WANN J","4"
"WAXMAN SR","4"
"WEGNER DM","4"
"WIECH K","4"
"WIG GS","4"
"WOLF OT","4"
"WONG ACN","4"
"WOODWARD AL","4"
"YANTIS S","4"
"YON D","4"
"YOVEL G","4"
"ALLMAN JM","3"
"ALTMANN GTM","3"
"AMER T","3"
"AMODIO DM","3"
"AMUNTS K","3"
"ANDREWS G","3"
"ANOBILE G","3"
"ANTONY JW","3"
"ARRIGHI R","3"
"BALAN P","3"
"BARON-COHEN S","3"
"BARRETT JL","3"
"BARTHOLOW BD","3"
"BAVELIER D","3"
"BECHARA A","3"
"BECHARA H","3"
"BECKER S","3"
"BECKERS JJ","3"
"BERGEN L","3"
"BERNS GS","3"
"BERRIDGE KC","3"
"BERTELSON P","3"
"BIALYSTOK E","3"
"BIRCH SAJ","3"
"BLISS D","3"
"BOOGERT NJ","3"
"BOSMAN CA","3"
"BREAZEAL C","3"
"BRIDGE DJ","3"
"BROOKS AM","3"
"BRUNEC IK","3"
"BRUNET N","3"
"BRUNO N","3"
"BUFACCHI RJ","3"
"BUTLER FX","3"
"BYRGE L","3"
"CACIOPPO JT","3"
"CALDERONE DJ","3"
"CAMERON CD","3"
"CAMPANELLA S","3"
"CARLYON RP","3"
"CARPENTER GA","3"
"CARSTENSEN LL","3"
"CASTALDI E","3"
"CASTIELLO U","3"
"CHAMBERS CD","3"
"CHASE VM","3"
"CHEMERO A","3"
"CHILDRESS AR","3"
"CHOMSKY N","3"
"CHUDEK M","3"
"CLARK RE","3"
"CLEGG BA","3"
"COCCHI L","3"
"COHEN NJ","3"
"COLE SR","3"
"CONWAY ARA","3"
"COOLS R","3"
"COUTANCHE MN","3"
"COWAN N","3"
"CRAIG ADB","3"
"CRAIK FIM","3"
"CROCKETT MJ","3"
"DALE AM","3"
"DAMASIO AR","3"
"DAMASIO H","3"
"DE HAAN EHF","3"
"DE JAEGHER H","3"
"DELOACHE JS","3"
"DELORME A","3"
"DERRFUSS J","3"
"DEVLIN JT","3"
"DIGIROLAMO GJ","3"
"DUBROW S","3"
"DURSTON S","3"
"EDELMAN S","3"
"ELL SW","3"
"EMERY NJ","3"
"ENGLE RW","3"
"EVANS JST","3"
"EVERAERT MBH","3"
"FAHRENFORT JJ","3"
"FAJEN BR","3"
"FERGUSON MJ","3"
"FERREIRA CS","3"
"FISCHBACHER U","3"
"FLANAGAN JR","3"
"FLETCHER B","3"
"FORNITO A","3"
"FORSTMANN B","3"
"FOX KCR","3"
"FUSTER JM","3"
"FUTRELL R","3"
"GABRIELI J","3"
"GALLOTTI M","3"
"GATHERCOLE SE","3"
"GAYET S","3"
"GHAHRAMANI Z","3"
"GIGERENZER G","3"
"GLASAUER S","3"
"GOEL V","3"
"GOLARAI G","3"
"GOLDSTEIN RZ","3"
"GOPNIK M","3"
"GRABENHORST F","3"
"GRAFMAN J","3"
"GRAHAM KS","3"
"GRAY K","3"
"HACKMAN DA","3"
"HADJIKHANI NK","3"
"HAKEEM AY","3"
"HALL S","3"
"HALPERN DF","3"
"HAMPSHIRE A","3"
"HANSLMAYR S","3"
"HARDT O","3"
"HARI R","3"
"HARLEY CW","3"
"HARTLEY CA","3"
"HAWKEY LC","3"
"HEATHERTON TF","3"
"HENRICH J","3"
"HIRSH JB","3"
"HODSOLL J","3"
"HOLMES EA","3"
"HORGA G","3"
"HORSCHLER DJ","3"
"HORVITZ JC","3"
"HUYBREGTS MAC","3"
"IRISH M","3"
"IRWIN W","3"
"ITO M","3"
"JOHNSON MK","3"
"JOHNSON SC","3"
"JONES PL","3"
"JUSCZYK PW","3"
"KAAN E","3"
