"Country","Articles","Freq","SCP","MCP","MCP_Ratio"
"USA","1330","0.470297","1121","209","0.157"
"UNITED KINGDOM","604","0.213579","448","156","0.258"
"GERMANY","160","0.056577","106","54","0.338"
"CANADA","146","0.051627","90","56","0.384"
"NETHERLANDS","104","0.036775","53","51","0.490"
"FRANCE","96","0.033946","64","32","0.333"
"AUSTRALIA","73","0.025813","46","27","0.370"
"ITALY","57","0.020156","24","33","0.579"
"BELGIUM","40","0.014144","21","19","0.475"
"SWITZERLAND","36","0.012730","16","20","0.556"
"ISRAEL","28","0.009901","13","15","0.536"
"CHINA","19","0.006719","8","11","0.579"
"SWEDEN","16","0.005658","8","8","0.500"
"DENMARK","15","0.005304","11","4","0.267"
"JAPAN","15","0.005304","8","7","0.467"
"NEW ZEALAND","15","0.005304","12","3","0.200"
"SPAIN","15","0.005304","4","11","0.733"
"FINLAND","11","0.003890","8","3","0.273"
"AUSTRIA","9","0.003182","8","1","0.111"
"IRELAND","9","0.003182","4","5","0.556"
"HUNGARY","8","0.002829","5","3","0.375"
"NORWAY","7","0.002475","2","5","0.714"
"BRAZIL","3","0.001061","2","1","0.333"
"ICELAND","3","0.001061","3","0","0.000"
"PORTUGAL","2","0.000707","2","0","0.000"
"ARGENTINA","1","0.000354","0","1","1.000"
"CHILE","1","0.000354","1","0","0.000"
"ESTONIA","1","0.000354","1","0","0.000"
"GEORGIA","1","0.000354","1","0","0.000"
"KOREA","1","0.000354","1","0","0.000"
"SINGAPORE","1","0.000354","1","0","0.000"
"U ARAB EMIRATES","1","0.000354","0","1","1.000"